t,manoeuvre,distance,aspect angle,pitch,ideal pitch,roll,heading,ideal heading,angle of attack,sideslip angle,yoke pitch ratio,yoke roll ratio,throttle ratio,kias,stall warning,has crashed,Δt,pitch dev,heading dev,d rate,in front of or behind enemy plane,pitch dev grade,heading dev grade
0.0,before enemy aircraft starts manoeuvre,376.46144091372616 metres,2.72,3.33,-0.59,-0.13,42.83,43.87,3.05,-0.07,0.0,0.0,0.5,83.29,0,0,0.12,3.91,-1.04,1.25,behind,might lose sight of enemy,good
0.11,before enemy aircraft starts manoeuvre,376.6151092640256 metres,2.64,3.35,-0.64,-0.14,42.82,43.87,3.06,-0.07,0.0,0.0,0.5,83.61,0,0,0.11,4.0,-1.05,1.34,behind,might lose sight of enemy,good
0.22,before enemy aircraft starts manoeuvre,376.7714155107485 metres,2.56,3.38,-0.69,-0.14,42.82,43.87,3.06,-0.07,0.0,0.0,0.5,83.85,0,0,0.11,4.07,-1.05,1.45,behind,might lose sight of enemy,good
0.33,before enemy aircraft starts manoeuvre,376.91506551695903 metres,2.49,3.4,-0.74,-0.15,42.81,43.87,3.06,-0.07,0.0,0.0,0.5,84.01,0,0,0.1,4.14,-1.06,1.37,behind,might lose sight of enemy,good
0.44,before enemy aircraft starts manoeuvre,377.0852855450552 metres,2.41,3.42,-0.79,-0.25,42.8,43.87,3.07,-0.07,0.0,0.0,0.5,84.16,0,0,0.11,4.21,-1.06,1.57,behind,might lose sight of enemy,good
0.55,before enemy aircraft starts manoeuvre,377.2517187807195 metres,2.34,3.44,-0.84,-0.52,42.79,43.87,3.09,-0.06,0.0,0.0,0.5,84.26,0,0,0.11,4.28,-1.08,1.48,behind,might lose sight of enemy,good
0.66,before enemy aircraft starts manoeuvre,377.4441926823916 metres,2.26,3.46,-0.89,-1.07,42.76,43.87,3.13,-0.04,0.0,0.0,0.5,84.33,0,0,0.11,4.35,-1.1,1.78,behind,might lose sight of enemy,good
0.77,before enemy aircraft starts manoeuvre,377.6462652883169 metres,2.19,3.47,-0.95,-1.79,42.72,43.87,3.17,-0.02,0.0,0.0,0.5,84.38,0,0,0.12,4.42,-1.15,1.71,behind,might lose sight of enemy,good
0.88,before enemy aircraft starts manoeuvre,377.8309019449456 metres,2.12,3.48,-0.99,-2.64,42.66,43.87,3.2,0.01,0.0,0.0,0.5,84.4,0,0,0.11,4.47,-1.21,1.75,behind,might lose sight of enemy,good
0.98,before enemy aircraft starts manoeuvre,378.0307866543333 metres,2.06,3.48,-1.04,-3.78,42.56,43.87,3.25,0.04,0.0,0.0,0.5,84.4,0,0,0.1,4.52,-1.3,1.94,behind,might lose sight of enemy,good
1.09,before enemy aircraft starts manoeuvre,378.2201798121065 metres,2.0,3.46,-1.08,-5.06,42.44,43.87,3.29,0.06,0.0,0.0,0.5,84.38,0,0,0.1,4.54,-1.42,1.81,behind,might lose sight of enemy,good
1.19,before enemy aircraft starts manoeuvre,378.4192912672349 metres,1.95,3.43,-1.12,-6.57,42.28,43.87,3.34,0.09,0.0,0.0,0.5,84.36,0,0,0.1,4.55,-1.59,1.92,behind,might lose sight of enemy,good
1.29,before enemy aircraft starts manoeuvre,378.6263549848334 metres,1.9,3.38,-1.16,-8.3,42.07,43.87,3.37,0.12,0.0,0.0,0.5,84.32,0,0,0.1,4.54,-1.79,2.01,behind,might lose sight of enemy,good
1.41,before enemy aircraft starts manoeuvre,378.8472566317543 metres,1.85,3.29,-1.2,-10.28,41.81,43.87,3.41,0.14,0.0,0.0,0.5,84.27,0,0,0.11,4.49,-2.06,1.99,behind,might lose sight of enemy,good
1.51,before enemy aircraft starts manoeuvre,379.0759602488377 metres,1.81,3.17,-1.24,-12.45,41.5,43.88,3.43,0.16,0.0,0.0,0.5,84.22,0,0,0.11,4.4,-2.38,2.14,behind,might lose sight of enemy,good
1.62,before enemy aircraft starts manoeuvre,379.2990285312976 metres,1.78,3.0,-1.27,-14.64,41.16,43.89,3.43,0.18,0.0,0.0,0.5,84.16,0,0,0.1,4.27,-2.73,2.14,behind,might lose sight of enemy,good
1.72,before enemy aircraft starts manoeuvre,379.5320341851356 metres,1.75,2.78,-1.3,-17.06,40.77,43.9,3.41,0.19,0.0,0.0,0.5,84.09,0,0,0.1,4.08,-3.13,2.32,behind,might lose sight of enemy,good
1.83,before enemy aircraft starts manoeuvre,379.7942483726219 metres,1.73,2.47,-1.33,-19.95,40.29,43.92,3.38,0.2,0.0,0.0,0.5,84.02,0,0,0.11,3.8,-3.63,2.29,behind,might lose sight of enemy,good
1.94,before enemy aircraft starts manoeuvre,380.04840523644856 metres,1.73,2.09,-1.35,-22.82,39.81,43.94,3.31,0.21,0.0,0.0,0.5,83.94,0,0,0.11,3.44,-4.13,2.28,behind,might lose sight of enemy,good
2.05,before enemy aircraft starts manoeuvre,380.3100704051094 metres,1.73,1.62,-1.37,-25.79,39.31,43.97,3.22,0.22,0.0,0.0,0.5,83.87,0,0,0.11,2.99,-4.66,2.48,behind,good,good
2.16,before enemy aircraft starts manoeuvre,380.57005775795136 metres,1.75,1.11,-1.38,-28.7,38.79,44.0,3.13,0.22,0.0,0.0,0.5,83.8,0,0,0.11,2.5,-5.22,2.38,behind,good,ok
2.26,before enemy aircraft starts manoeuvre,380.84069793082205 metres,1.77,0.65,-1.39,-31.69,38.31,44.04,0.89,-1.0,0.0,0.0,0.5,83.73,0,0,0.11,2.04,-5.73,2.57,behind,good,ok
2.38,before enemy aircraft starts manoeuvre,381.12285261422767 metres,1.82,0.36,-1.39,-34.65,38.0,44.09,0.09,-1.17,0.0,0.0,0.5,83.68,0,0,0.12,1.75,-6.09,2.42,behind,good,ok
2.48,before enemy aircraft starts manoeuvre,381.38235041699926 metres,1.87,0.26,-1.38,-37.09,37.82,44.14,-0.3,-1.0,0.0,0.0,0.5,83.64,0,0,0.1,1.63,-6.32,2.5,behind,good,ok
2.59,before enemy aircraft starts manoeuvre,381.64280940670227 metres,1.93,0.27,-1.36,-39.12,37.65,44.19,-0.44,-0.64,0.0,0.0,0.5,83.61,0,0,0.1,1.63,-6.54,2.48,behind,good,ok
2.7,before enemy aircraft starts manoeuvre,381.93914198837933 metres,2.01,0.4,-1.34,-40.81,37.34,44.26,-0.34,-0.15,0.0,0.0,0.5,83.59,0,0,0.11,1.73,-6.92,2.65,behind,good,ok
2.82,before enemy aircraft starts manoeuvre,382.18472243233185 metres,2.08,0.54,-1.31,-41.75,36.95,44.32,-0.1,0.18,0.0,0.0,0.5,83.57,0,0,0.12,1.85,-7.37,2.12,behind,good,ok
2.93,before enemy aircraft starts manoeuvre,382.5884995182537 metres,2.22,0.77,-1.26,-42.16,36.02,44.43,0.64,0.66,0.0,0.0,0.5,83.56,0,0,0.12,2.02,-8.41,3.47,behind,good,ok
